98,6907,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
860,6907,1,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
3706,6907,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3742,6907,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3909,6907,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4154,6907,1,4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
4461,6907,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6907,10084,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
6907,3851,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
6907,6909,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
6907,10832,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6907,4753,1,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
6907,8015,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6907,444,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6907,4861,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6909,6907,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
7048,6907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7306,6907,1,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
8318,6907,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8340,6907,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8373,6907,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,98,-1,9,0,0,0,0,0,0,1,0,0,2,0,4,1,0,1
6,707,1,8,0,0,0,0,0,0,0,0,2,0,3,3,0,0,0
6,101,1,4,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
6,832,-1,7,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0
6,9,1,6,0,0,0,0,2,0,0,0,2,0,1,1,0,0,0
6,110,-1,11,0,0,1,0,0,0,0,0,0,2,1,6,0,0,1
6,240,1,10,0,0,0,0,1,0,0,0,1,0,0,6,2,0,0
6,400,1,6,2,0,0,0,0,0,0,0,1,0,2,1,0,0,0
6,631,1,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
6,120,-1,5,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0
6,576,1,15,1,0,0,1,0,0,0,0,3,0,2,6,0,1,1
6,506,1,7,3,0,0,0,0,0,0,0,2,0,2,0,0,0,0
8,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2038,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,783,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,400,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
9,506,1,6,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
9,2,1,6,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0
9,783,-1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
10,576,-1,14,0,1,0,2,0,0,0,1,1,3,2,3,0,0,1
10,581,1,5,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0
10,328,1,11,0,2,0,0,2,0,1,1,0,1,1,3,0,0,0
10,204,1,7,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0
10,1998,-1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
10,221,1,17,0,0,0,0,1,2,3,2,1,1,0,4,2,0,1
10,734,-1,8,0,0,0,0,0,0,0,1,2,0,2,3,0,0,0
10,354,1,4,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
10,1508,-1,8,0,0,0,0,0,0,1,2,0,0,2,3,0,0,0
10,362,1,12,0,0,1,1,0,1,0,1,0,1,2,4,0,0,1
10,1132,-1,9,1,0,1,1,0,0,1,0,0,0,1,4,0,0,0
10,237,-1,17,1,1,1,0,0,1,0,3,1,1,5,2,0,0,1
10,240,1,17,0,0,0,0,2,0,0,1,3,1,4,4,1,0,1
10,631,1,15,3,0,0,2,0,0,0,0,3,1,3,3,0,0,0
10,1151,1,8,0,0,0,1,0,0,1,0,0,1,3,2,0,0,0
11,2,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,4,1,6,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0
11,98,-1,8,0,1,0,0,4,0,1,0,0,2,0,0,0,0,0
11,6,1,6,1,0,0,1,1,0,0,3,0,0,0,0,0,0,0
11,12,1,8,0,0,2,0,2,0,1,2,1,0,0,0,0,0,0
11,529,1,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0
11,323,-1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,7074,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,807,1,6,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0
11,46,-1,7,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0
11,1330,-1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
11,692,-1,5,0,0,0,0,1,0,1,0,1,2,0,0,0,0,0
11,318,-1,5,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0
11,963,-1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,275,-1,5,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0
11,329,1,4,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
11,77,1,8,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0
11,1230,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,859,-1,3,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
11,734,-1,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
11,96,-1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11,1122,-1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11,1007,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
11,499,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,120,-1,6,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0
11,506,1,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
12,192,1,9,1,0,0,0,1,1,0,1,1,1,1,0,2,0,0
12,1027,1,15,1,0,0,1,0,2,0,2,0,2,2,2,1,1,0
12,581,1,7,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0
12,3056,1,3,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
12,4870,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1663,1,12,1,1,0,0,0,0,0,1,5,0,2,2,0,0,0
12,3082,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,527,1,6,0,0,0,0,0,0,0,0,1,0,2,2,0,1,0
12,400,-1,13,3,0,0,1,0,0,0,0,4,0,3,2,0,0,0
12,2328,1,6,0,2,1,0,0,0,0,0,0,2,0,1,0,0,0
12,275,-1,13,0,4,0,0,1,0,1,0,1,2,0,3,1,0,0
12,90,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
12,3246,-1,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,280,-1,21,1,1,1,0,2,2,0,0,2,3,0,9,0,0,0
12,537,1,12,2,2,1,0,1,0,0,1,4,0,0,1,0,0,0
12,2459,1,5,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0
12,2333,-1,8,0,1,0,0,1,0,0,0,0,3,0,3,0,0,0
12,6917,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,288,1,11,0,2,1,0,0,1,1,0,2,0,0,4,0,0,0
12,2465,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,930,1,13,3,0,0,2,0,0,0,0,2,1,0,5,0,0,0
12,36,-1,11,0,3,0,1,0,0,0,0,0,3,0,4,0,0,0
12,1122,1,15,2,3,0,2,0,0,0,0,4,3,0,1,0,0,0
12,294,-1,13,0,0,0,0,0,1,0,1,3,1,2,4,1,0,0
12,1703,-1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,168,1,8,0,0,0,0,3,0,2,0,3,0,0,0,0,0,0
12,2346,1,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
12,7982,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,157,1,10,2,1,0,0,1,1,0,0,0,1,1,3,0,0,0
12,1458,1,11,2,0,2,0,0,0,0,0,4,0,2,1,0,0,0
12,3315,1,7,0,2,0,0,0,1,0,1,0,0,0,3,0,0,0
12,4690,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,1206,-1,11,0,3,0,0,0,0,0,0,1,1,0,6,0,0,0
12,1591,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,3256,-1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
12,187,1,21,1,1,0,1,5,0,0,0,1,2,1,6,1,0,2
12,61,1,29,0,0,0,0,8,4,1,9,2,0,1,0,1,1,1
12,318,-1,15,2,1,0,0,2,0,0,0,2,2,0,4,2,0,0
12,448,-1,17,2,0,0,0,3,2,0,0,2,0,1,4,1,0,1
12,416,1,14,1,1,2,0,0,2,1,0,4,1,0,2,0,0,0
12,1218,1,10,1,1,0,0,0,0,0,1,1,0,2,3,0,1,0
12,147,1,13,3,0,1,0,3,1,0,1,4,0,0,0,0,0,0
12,69,-1,9,0,0,0,0,1,4,1,1,0,0,1,0,0,0,0
12,2760,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,329,1,14,1,0,1,0,2,0,0,0,5,0,4,1,0,0,0
12,588,1,6,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0
12,77,1,9,0,0,0,0,2,0,1,0,3,0,3,0,0,0,0
12,1874,1,7,2,0,0,0,0,0,0,0,1,1,2,1,0,0,0
12,5584,-1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,568,1,11,2,0,0,0,1,1,0,2,3,0,1,0,0,0,0
12,466,1,10,2,0,1,0,0,0,0,0,3,0,1,3,0,0,0
12,1619,1,13,2,0,0,0,1,0,1,1,3,1,3,1,0,0,0
12,213,1,15,2,1,0,3,0,0,0,0,3,1,3,2,0,0,0
12,917,1,8,1,0,1,0,0,1,0,1,3,0,0,0,0,1,0
12,1496,-1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
12,1626,1,8,0,0,0,1,0,1,0,0,2,2,1,1,0,0,0
12,1371,-1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,4312,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
12,4702,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,367,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12,573,1,13,0,1,0,0,1,0,0,1,2,2,1,5,0,0,0
12,354,1,9,3,0,0,0,0,0,1,0,3,0,2,0,0,0,0
12,2019,-1,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
12,2020,-1,6,0,0,1,0,0,0,0,0,1,2,1,1,0,0,0
12,2789,-1,9,0,1,1,0,0,0,0,0,2,4,0,1,0,0,0
12,1041,1,7,0,0,0,2,1,0,0,0,1,1,2,0,0,0,0
12,488,1,20,1,0,0,0,1,1,0,1,5,3,5,1,0,0,1
12,1020,-1,7,0,2,0,1,0,0,0,0,0,3,0,1,0,0,0
12,362,1,24,2,1,1,0,4,2,0,1,3,0,2,6,2,0,0
12,566,1,17,1,0,0,0,2,0,2,1,1,2,0,6,2,0,0
12,237,1,12,1,0,1,0,1,1,0,3,1,0,0,4,0,0,0
12,1647,-1,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
12,240,1,23,2,1,0,0,3,0,1,3,1,3,1,7,0,0,1
12,2801,-1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12,2931,-1,7,1,1,0,0,0,0,0,0,0,2,0,3,0,0,0
12,2878,-1,7,0,0,0,0,0,1,0,1,1,0,1,0,2,0,1
12,1782,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12,887,-1,10,0,2,0,0,0,0,0,2,0,1,0,4,0,0,0
12,1144,-1,12,3,0,0,0,0,0,1,0,4,2,1,0,1,0,0
12,4628,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,127,1,14,0,1,0,0,2,2,1,0,0,3,0,3,0,1,1
12,166,-1,32,0,4,1,1,6,2,0,1,2,2,2,9,0,0,2
12,1151,-1,9,0,2,0,0,0,0,1,0,2,1,0,3,0,0,0
13,6,1,13,1,0,0,0,1,0,1,2,0,1,1,4,0,1,1
13,135,1,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0
13,394,-1,7,0,1,0,0,0,0,1,0,0,2,0,2,1,0,0
13,783,-1,9,0,0,0,0,0,0,0,0,0,4,1,4,0,0,0
13,400,1,6,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0
13,4499,-1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,661,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,280,1,17,2,0,2,0,0,0,1,1,3,4,0,3,0,0,1
13,157,1,14,0,0,0,0,1,2,0,0,2,1,0,7,0,0,0
13,1186,-1,6,0,1,0,0,0,0,0,0,0,1,1,3,0,0,0
13,318,1,18,0,0,1,0,1,0,0,0,3,2,1,8,0,2,0
13,832,-1,5,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0
13,706,1,6,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0
13,323,1,9,0,2,2,0,0,0,0,0,3,0,0,2,0,0,0
13,1354,-1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13,77,1,14,1,0,0,0,4,0,0,1,5,0,1,0,1,0,1
13,1230,-1,5,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
13,213,-1,13,0,1,2,0,1,0,0,0,2,3,1,3,0,0,0
13,599,1,8,0,0,0,0,0,0,0,1,3,1,3,0,0,0,0
13,218,-1,23,0,0,0,0,2,1,2,1,1,8,0,6,0,2,0
13,1251,1,8,0,1,0,1,0,0,0,0,0,2,2,2,0,0,0
13,110,-1,8,0,1,1,0,0,0,0,0,1,4,0,1,0,0,0
13,240,-1,24,1,0,0,1,3,1,1,1,2,4,1,6,2,1,0
13,499,-1,6,0,0,1,1,1,0,0,0,0,2,0,1,0,0,0
13,380,1,10,1,0,0,0,2,1,0,1,3,0,2,0,0,0,0
13,1279,-1,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
14,240,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,547,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,1393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,348,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2090,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2284,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2030,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1392,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2065,-1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,10,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
14,275,-1,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
14,204,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,2553,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,282,-1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
14,859,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
14,1020,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1290,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
